state,year,quarter,policy_count,premium_amount
andaman-&-nicobar-islands,2020,1,534,246236.8
andaman-&-nicobar-islands,2020,2,526,242712.68
andaman-&-nicobar-islands,2020,3,664,306488.23
andaman-&-nicobar-islands,2020,4,795,366798.97
andaman-&-nicobar-islands,2021,1,602,277629.82
andaman-&-nicobar-islands,2021,2,787,362934.25
andaman-&-nicobar-islands,2021,3,900,414959.08
andaman-&-nicobar-islands,2021,4,965,444944.73
andaman-&-nicobar-islands,2022,1,886,408788.59
andaman-&-nicobar-islands,2022,2,985,454312.99
andaman-&-nicobar-islands,2022,3,1130,521169.19
andaman-&-nicobar-islands,2022,4,1329,612977.45
andaman-&-nicobar-islands,2023,1,1050,484324.54
andaman-&-nicobar-islands,2023,2,1289,594629.67
andaman-&-nicobar-islands,2023,3,1333,614792.64
andaman-&-nicobar-islands,2023,4,1443,665466.31
andhra-pradesh,2020,1,29393,16284268.4
andhra-pradesh,2020,2,32527,18020190.02
andhra-pradesh,2020,3,41535,23010407.51
andhra-pradesh,2020,4,49023,27159166.55
andhra-pradesh,2021,1,43361,24022035.57
andhra-pradesh,2021,2,45885,25420724.7
andhra-pradesh,2021,3,45812,25379959.84
andhra-pradesh,2021,4,56904,31525075.44
andhra-pradesh,2022,1,51653,28616087.59
andhra-pradesh,2022,2,61022,33806620.51
andhra-pradesh,2022,3,59051,32714442.5
andhra-pradesh,2022,4,77306,42827985.19
andhra-pradesh,2023,1,57576,31897209.07
andhra-pradesh,2023,2,64976,35996882.56
andhra-pradesh,2023,3,79768,44191894.83
andhra-pradesh,2023,4,89261,49450687.13
arunachal-pradesh,2020,1,912,335806.92
arunachal-pradesh,2020,2,940,346106.44
arunachal-pradesh,2020,3,1049,386145.01
arunachal-pradesh,2020,4,1271,467988.78
arunachal-pradesh,2021,1,1024,377058.79
arunachal-pradesh,2021,2,1291,475339.25
arunachal-pradesh,2021,3,1384,509435.34
arunachal-pradesh,2021,4,1574,579374.49
arunachal-pradesh,2022,1,1530,563169.79
arunachal-pradesh,2022,2,1574,579241.29
arunachal-pradesh,2022,3,1838,676390.23
arunachal-pradesh,2022,4,2240,824592.31
arunachal-pradesh,2023,1,1973,726210.23
arunachal-pradesh,2023,2,2042,751710.34
arunachal-pradesh,2023,3,2023,744480.69
arunachal-pradesh,2023,4,2898,1066612.24
assam,2020,1,9500,3967475.15
assam,2020,2,11546,4821744.79
assam,2020,3,12868,5373700.53
assam,2020,4,12975,5418645.56
assam,2021,1,10699,4468075.28
assam,2021,2,14130,5901101.69
assam,2021,3,14388,6008527.11
assam,2021,4,18222,7609749.74
assam,2022,1,15702,6557514.44
assam,2022,2,16676,6964111.68
assam,2022,3,20500,8561100.88
assam,2022,4,20838,8702224.01
assam,2023,1,20383,8512226.38
assam,2023,2,21480,8970403.42
assam,2023,3,22467,9382626.75
assam,2023,4,25785,10768039.11
bihar,2020,1,17151,6524535.17
bihar,2020,2,18508,7040728.86
bihar,2020,3,19768,7519868.83
bihar,2020,4,25684,9770195.92
bihar,2021,1,22467,8546468.93
bihar,2021,2,22413,8526004.92
bihar,2021,3,27499,10460995.61
bihar,2021,4,27417,10429652.69
bihar,2022,1,24094,9165732.46
bihar,2022,2,29752,11317819.88
bihar,2022,3,31981,12165655.27
bihar,2022,4,35507,13507210.62
bihar,2023,1,30736,11692015.58
bihar,2023,2,37460,14249831.96
bihar,2023,3,37602,14304097.92
bihar,2023,4,41767,15888345.93
chandigarh,2020,1,2308,1636762.73
chandigarh,2020,2,2501,1773679.06
chandigarh,2020,3,3025,2144997.4
chandigarh,2020,4,3018,2140066.8
chandigarh,2021,1,2821,2000584.72
chandigarh,2021,2,3081,2184445.52
chandigarh,2021,3,3763,2668410.41
chandigarh,2021,4,4056,2876054.93
chandigarh,2022,1,4045,2868359.42
chandigarh,2022,2,3720,2637930.05
chandigarh,2022,3,4830,3424500.68
chandigarh,2022,4,5281,3744362.69
chandigarh,2023,1,4073,2888296.8
chandigarh,2023,2,5569,3948610.16
chandigarh,2023,3,6271,4446239.65
chandigarh,2023,4,6911,4899998.36
chhattisgarh,2020,1,7905,3350202.3
chhattisgarh,2020,2,8772,3717579.54
chhattisgarh,2020,3,10399,4407168.59
chhattisgarh,2020,4,12493,5294831.46
chhattisgarh,2021,1,11127,4715858.56
chhattisgarh,2021,2,13852,5870861.38
chhattisgarh,2021,3,12502,5298514.38
chhattisgarh,2021,4,16478,6983613.6
chhattisgarh,2022,1,12405,5257253.79
chhattisgarh,2022,2,16779,7111287.06
chhattisgarh,2022,3,19143,8113219.48
chhattisgarh,2022,4,21002,8900740.44
chhattisgarh,2023,1,18593,7879803.7
chhattisgarh,2023,2,19249,8157863.1
chhattisgarh,2023,3,22645,9597053.29
chhattisgarh,2023,4,24139,10230437.64
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,1006,557365.48
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,1237,685697.32
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,1377,762891.43
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,1426,790425.51
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,1250,693038.81
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,1479,819721.53
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,1925,1066828.48
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,1939,1074588.92
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,1871,1037048.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,1988,1101663.8
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,2202,1220122.8
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,2565,1421204.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,2046,1133810.68
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,2316,1283398.12
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,2893,1603174.16
