state,year,quarter,category,txn_count,txn_amount
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,50592,13153945.66
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,29066,47959093.04
andaman-&-nicobar-islands,2018,1,Merchant payments,17331,11092406.46
andaman-&-nicobar-islands,2018,1,Financial Services,1940,4753191.86
andaman-&-nicobar-islands,2018,1,Others,3890,3190014.83
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,63895,16612867.23
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,37981,62668658.64
andaman-&-nicobar-islands,2018,2,Merchant payments,23657,15140764.64
andaman-&-nicobar-islands,2018,2,Financial Services,2652,6498619.83
andaman-&-nicobar-islands,2018,2,Others,5288,4336783.57
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,71418,18568746.09
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,45089,74397129.74
andaman-&-nicobar-islands,2018,3,Merchant payments,29026,18577047.85
andaman-&-nicobar-islands,2018,3,Financial Services,3095,7583982.23
andaman-&-nicobar-islands,2018,3,Others,5928,4861406.82
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,82206,21373765.57
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,50758,83751034.12
andaman-&-nicobar-islands,2018,4,Merchant payments,33700,21568326.72
andaman-&-nicobar-islands,2018,4,Financial Services,3384,8290878.1
andaman-&-nicobar-islands,2018,4,Others,6710,5502271.44
andaman-&-nicobar-islands,2019,1,Recharge & bill payments,67060,17435638.67
andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,42902,70788381.75
andaman-&-nicobar-islands,2019,1,Merchant payments,30114,19273478.2
andaman-&-nicobar-islands,2019,1,Financial Services,2971,7280556.31
andaman-&-nicobar-islands,2019,1,Others,6027,4942266.98
andaman-&-nicobar-islands,2019,2,Recharge & bill payments,79089,20563393.24
andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,49644,81912707.5
andaman-&-nicobar-islands,2019,2,Merchant payments,37581,24052331.55
andaman-&-nicobar-islands,2019,2,Financial Services,3625,8882830.7
andaman-&-nicobar-islands,2019,2,Others,7030,5765154.81
andaman-&-nicobar-islands,2019,3,Recharge & bill payments,82554,21464281.04
andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,54419,89792224.95
andaman-&-nicobar-islands,2019,3,Merchant payments,39105,25027331.46
andaman-&-nicobar-islands,2019,3,Financial Services,3707,9082340.82
andaman-&-nicobar-islands,2019,3,Others,7559,6199040.59
andaman-&-nicobar-islands,2019,4,Recharge & bill payments,100851,26221503.57
andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,68676,113316700.13
andaman-&-nicobar-islands,2019,4,Merchant payments,51025,32656386.9
andaman-&-nicobar-islands,2019,4,Financial Services,4796,11751391.49
andaman-&-nicobar-islands,2019,4,Others,9029,7403986.94
andaman-&-nicobar-islands,2020,1,Recharge & bill payments,82973,21573096.16
andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,56609,93405012.41
andaman-&-nicobar-islands,2020,1,Merchant payments,44502,28481539.79
andaman-&-nicobar-islands,2020,1,Financial Services,3953,9685473.56
andaman-&-nicobar-islands,2020,1,Others,7656,6278062.4
