state,year,quarter,registered_users,app_opens
andaman-&-nicobar-islands,2018,1,17445,159767
andaman-&-nicobar-islands,2018,2,23503,217851
andaman-&-nicobar-islands,2018,3,28416,214268
andaman-&-nicobar-islands,2018,4,35677,241336
andaman-&-nicobar-islands,2019,1,31436,234299
andaman-&-nicobar-islands,2019,2,31325,235710
andaman-&-nicobar-islands,2019,3,38092,271455
andaman-&-nicobar-islands,2019,4,41705,271230
andaman-&-nicobar-islands,2020,1,37183,284672
andaman-&-nicobar-islands,2020,2,38264,257118
andaman-&-nicobar-islands,2020,3,45964,436429
andaman-&-nicobar-islands,2020,4,53224,453693
andaman-&-nicobar-islands,2021,1,43634,290533
andaman-&-nicobar-islands,2021,2,42603,314613
andaman-&-nicobar-islands,2021,3,55410,499667
andaman-&-nicobar-islands,2021,4,60043,412107
andaman-&-nicobar-islands,2022,1,50814,348468
andaman-&-nicobar-islands,2022,2,57101,502745
andaman-&-nicobar-islands,2022,3,62029,459410
andaman-&-nicobar-islands,2022,4,71422,466662
andaman-&-nicobar-islands,2023,1,52239,433240
andaman-&-nicobar-islands,2023,2,63304,547584
andaman-&-nicobar-islands,2023,3,69292,555566
andaman-&-nicobar-islands,2023,4,82130,715812
andhra-pradesh,2018,1,1176124,9949629
andhra-pradesh,2018,2,1370930,9374996
andhra-pradesh,2018,3,1753185,12416948
andhra-pradesh,2018,4,1763364,15473285
andhra-pradesh,2019,1,1687052,12925870
andhra-pradesh,2019,2,2024852,17493110
andhra-pradesh,2019,3,2188250,18319452
andhra-pradesh,2019,4,2535823,23529318
andhra-pradesh,2020,1,2311535,18018451
andhra-pradesh,2020,2,2600203,23943726
andhra-pradesh,2020,3,2512420,19345675
andhra-pradesh,2020,4,3220970,27833266
andhra-pradesh,2021,1,2599167,23430430
andhra-pradesh,2021,2,2352280,21642391
andhra-pradesh,2021,3,3132595,28878469
andhra-pradesh,2021,4,3225907,27562689
andhra-pradesh,2022,1,2723616,20049130
andhra-pradesh,2022,2,3402861,31211959
andhra-pradesh,2022,3,3241670,27706944
andhra-pradesh,2022,4,3794761,34577856
andhra-pradesh,2023,1,3067390,27815331
andhra-pradesh,2023,2,3576745,28849780
andhra-pradesh,2023,3,3510409,28554742
andhra-pradesh,2023,4,4695794,36192654
arunachal-pradesh,2018,1,43285,391357
arunachal-pradesh,2018,2,54437,396903
arunachal-pradesh,2018,3,57165,477941
arunachal-pradesh,2018,4,73921,519983
arunachal-pradesh,2019,1,57267,450714
arunachal-pradesh,2019,2,63017,441820
arunachal-pradesh,2019,3,70949,614098
arunachal-pradesh,2019,4,81965,571868
arunachal-pradesh,2020,1,78387,662373
arunachal-pradesh,2020,2,78205,700592
arunachal-pradesh,2020,3,88152,791012
arunachal-pradesh,2020,4,108217,703635
arunachal-pradesh,2021,1,87856,716850
arunachal-pradesh,2021,2,84137,652143
arunachal-pradesh,2021,3,102928,890004
arunachal-pradesh,2021,4,115986,863315
arunachal-pradesh,2022,1,94080,711067
arunachal-pradesh,2022,2,108398,822010
arunachal-pradesh,2022,3,115723,864993
arunachal-pradesh,2022,4,125431,1052127
arunachal-pradesh,2023,1,104568,770960
arunachal-pradesh,2023,2,125955,1196162
arunachal-pradesh,2023,3,113917,1020013
arunachal-pradesh,2023,4,143181,1210430
assam,2018,1,381422,2821846
assam,2018,2,531618,4355529
assam,2018,3,520718,3567680
assam,2018,4,751686,6195470
assam,2019,1,577265,3840660
assam,2019,2,599813,5658050
assam,2019,3,752689,5936527
assam,2019,4,947140,7243078
assam,2020,1,746551,5740902
assam,2020,2,822812,7502287
assam,2020,3,947097,8245881
assam,2020,4,997715,8398380
assam,2021,1,806676,7387910
assam,2021,2,979311,7446650
assam,2021,3,1017341,9630190
assam,2021,4,1105052,9175696
assam,2022,1,871519,5964594
assam,2022,2,1077304,7202017
assam,2022,3,1148745,9743586
assam,2022,4,1190703,7877242
assam,2023,1,945473,8170900
assam,2023,2,1266837,11916044
assam,2023,3,1156869,8054814
assam,2023,4,1489344,10513840
bihar,2018,1,623892,4202863
bihar,2018,2,772491,6625998
bihar,2018,3,940374,8375316
bihar,2018,4,1253486,11586058
bihar,2019,1,965690,9010527
bihar,2019,2,1117206,8488501
bihar,2019,3,1321021,9258732
bihar,2019,4,1402136,11166666
bihar,2020,1,1392462,9829768
bihar,2020,2,1485609,13149575
bihar,2020,3,1450748,11139176
bihar,2020,4,1779064,16608494
bihar,2021,1,1422979,10472552
bihar,2021,2,1601894,12986692
bihar,2021,3,1622251,10898533
bihar,2021,4,2065255,14763946
bihar,2022,1,1758345,12928695
bihar,2022,2,1752961,13825403
bihar,2022,3,2114519,15720099
bihar,2022,4,2192482,15701435
bihar,2023,1,1728487,14229982
bihar,2023,2,2097690,13870612
bihar,2023,3,2133167,19836930
bihar,2023,4,2281858,18141820
chandigarh,2018,1,77443,649086
chandigarh,2018,2,88957,838609
chandigarh,2018,3,121521,1102859
chandigarh,2018,4,125240,1006989
chandigarh,2019,1,116852,974873
chandigarh,2019,2,133342,983603
chandigarh,2019,3,164240,1247158
chandigarh,2019,4,192983,1522886
chandigarh,2020,1,150059,1106736
chandigarh,2020,2,146408,1189963
chandigarh,2020,3,203603,1396128
chandigarh,2020,4,191695,1514830
chandigarh,2021,1,167289,1505318
chandigarh,2021,2,183267,1582042
chandigarh,2021,3,186990,1649305
chandigarh,2021,4,224190,1797275
chandigarh,2022,1,189877,1516105
chandigarh,2022,2,209665,1779577
chandigarh,2022,3,209863,1544468
chandigarh,2022,4,241227,2124245
chandigarh,2023,1,189470,1329148
chandigarh,2023,2,252323,2189792
chandigarh,2023,3,242661,2021729
chandigarh,2023,4,278494,2025663
chhattisgarh,2018,1,398318,3603603
chhattisgarh,2018,2,421583,3933906
chhattisgarh,2018,3,460568,4269045
chhattisgarh,2018,4,615039,5693532
chhattisgarh,2019,1,539037,3975209
chhattisgarh,2019,2,670772,5044976
chhattisgarh,2019,3,650649,5440037
chhattisgarh,2019,4,848586,7699734
chhattisgarh,2020,1,595140,3910968
chhattisgarh,2020,2,711239,4964841
chhattisgarh,2020,3,820765,6895570
chhattisgarh,2020,4,929067,6802905
chhattisgarh,2021,1,813025,6529866
chhattisgarh,2021,2,796464,5908919
chhattisgarh,2021,3,864220,7529259
chhattisgarh,2021,4,950277,6250789
chhattisgarh,2022,1,883751,6833251
chhattisgarh,2022,2,996577,7784239
chhattisgarh,2022,3,1024083,6721893
chhattisgarh,2022,4,1074002,9825786
chhattisgarh,2023,1,993251,9124004
chhattisgarh,2023,2,1027304,9259810
chhattisgarh,2023,3,1074747,8376173
chhattisgarh,2023,4,1284040,11407457
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,36060,238094
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,43565,299074
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,55266,397670
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,66922,606476
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,55116,484812
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,68253,629073
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,80348,596008
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,87346,754135
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,71968,497158
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,88633,654136
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,80550,744493
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,100557,756285
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,82520,603846
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,99728,916303
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,105538,943114
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,130478,886158
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,93706,722120
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,94569,851984
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,125027,949017
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,118719,998473
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,116998,788469
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,121627,998561
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,126944,868794
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,145995,1025096
delhi,2018,1,1029234,9739518
delhi,2018,2,1205263,8994868
delhi,2018,3,1713581,12585593
delhi,2018,4,1633299,12727409
delhi,2019,1,1839703,11962463
delhi,2019,2,1799943,13519308
delhi,2019,3,1988847,17842802
delhi,2019,4,2312948,20382699
delhi,2020,1,2116904,17704226
delhi,2020,2,2102654,17424076
delhi,2020,3,2371082,21127080
delhi,2020,4,2799270,23852727
delhi,2021,1,2454067,21448450
delhi,2021,2,2564187,17717794
delhi,2021,3,3050957,24580050
delhi,2021,4,3276622,25222458
delhi,2022,1,2734397,25047725
delhi,2022,2,2634397,17999609
delhi,2022,3,2928144,25688533
delhi,2022,4,3704234,25000196
delhi,2023,1,2797961,19531623
delhi,2023,2,3289900,27210583
delhi,2023,3,3052326,22623325
delhi,2023,4,3613204,25154471
goa,2018,1,115389,882871
goa,2018,2,141446,1242001
goa,2018,3,172347,1301535
goa,2018,4,203913,1485327
goa,2019,1,191426,1726463
goa,2019,2,191951,1409327
goa,2019,3,233565,1953742
goa,2019,4,251303,1777599
goa,2020,1,219823,2066847
goa,2020,2,243043,2092547
goa,2020,3,276580,2121274
goa,2020,4,318493,3018648
goa,2021,1,257168,2347082
goa,2021,2,280784,2146026
goa,2021,3,296917,2494523
goa,2021,4,325119,2704547
goa,2022,1,259829,2001824
goa,2022,2,341058,2988952
goa,2022,3,345616,3161263
goa,2022,4,356012,2871110
goa,2023,1,287597,2084948
goa,2023,2,321165,2786235
goa,2023,3,352283,2946503
goa,2023,4,399376,2986948
gujarat,2018,1,1060134,8761251
gujarat,2018,2,1225401,8113047
gujarat,2018,3,1401174,12197123
gujarat,2018,4,1681542,11791660
gujarat,2019,1,1438070,11583938
gujarat,2019,2,1781480,14540678
gujarat,2019,3,1902087,14933883
gujarat,2019,4,2295861,16989445
gujarat,2020,1,1825166,11942089
gujarat,2020,2,2193393,18449564
gujarat,2020,3,2386721,15722526
gujarat,2020,4,2574628,21428177
gujarat,2021,1,2176220,18598746
gujarat,2021,2,2566033,20424959
gujarat,2021,3,2477728,16364841
gujarat,2021,4,2818879,21994620
gujarat,2022,1,2438398,18579878
gujarat,2022,2,2535242,22008213
gujarat,2022,3,3030620,23717962
gujarat,2022,4,3555603,27413977
gujarat,2023,1,2568332,19412519
gujarat,2023,2,2944333,27372892
gujarat,2023,3,3659592,28796850
gujarat,2023,4,3700992,31439576
haryana,2018,1,679604,5947582
haryana,2018,2,874027,6334465
haryana,2018,3,1073214,9294685
haryana,2018,4,1290422,10768930
haryana,2019,1,1162140,10162344
haryana,2019,2,1124445,7702062
haryana,2019,3,1345587,11063560
haryana,2019,4,1739054,16096064
haryana,2020,1,1346509,10001100
haryana,2020,2,1444278,12378820
haryana,2020,3,1488555,10262125
haryana,2020,4,1879798,17169193
haryana,2021,1,1604129,14321021
haryana,2021,2,1627760,15113053
haryana,2021,3,1738722,15037988
haryana,2021,4,1964150,16848715
haryana,2022,1,1779257,13900100
haryana,2022,2,1895753,12476520
haryana,2022,3,2298486,20296211
haryana,2022,4,2152964,15434930
haryana,2023,1,1861422,13141513
haryana,2023,2,1908662,16110735
haryana,2023,3,2333104,20070250
haryana,2023,4,2601429,17965637
himachal-pradesh,2018,1,183881,1691503
himachal-pradesh,2018,2,216839,2000418
himachal-pradesh,2018,3,239347,2255214
himachal-pradesh,2018,4,315695,2360135
himachal-pradesh,2019,1,256436,2348167
himachal-pradesh,2019,2,308362,2781518
himachal-pradesh,2019,3,297910,2572616
himachal-pradesh,2019,4,389051,3266098
himachal-pradesh,2020,1,297127,2819472
himachal-pradesh,2020,2,335766,2451740
himachal-pradesh,2020,3,364639,2500247
himachal-pradesh,2020,4,448924,4054501
