state,year,quarter,brand,user_count,percentage
andaman-&-nicobar-islands,2018,1,Xiaomi,4454,0.26
andaman-&-nicobar-islands,2018,1,Samsung,3481,0.2
andaman-&-nicobar-islands,2018,1,Vivo,2463,0.145
andaman-&-nicobar-islands,2018,1,Oppo,1954,0.115
andaman-&-nicobar-islands,2018,1,Realme,1663,0.095
andaman-&-nicobar-islands,2018,1,OnePlus,793,0.045
andaman-&-nicobar-islands,2018,1,Apple,606,0.035
andaman-&-nicobar-islands,2018,1,Motorola,340,0.02
andaman-&-nicobar-islands,2018,1,Others,1497,0.085
andaman-&-nicobar-islands,2018,2,Xiaomi,6038,0.26
andaman-&-nicobar-islands,2018,2,Samsung,4878,0.2
andaman-&-nicobar-islands,2018,2,Vivo,3277,0.145
andaman-&-nicobar-islands,2018,2,Oppo,2598,0.115
andaman-&-nicobar-islands,2018,2,Realme,2131,0.095
andaman-&-nicobar-islands,2018,2,OnePlus,1059,0.045
andaman-&-nicobar-islands,2018,2,Apple,810,0.035
andaman-&-nicobar-islands,2018,2,Motorola,448,0.02
andaman-&-nicobar-islands,2018,2,Others,1973,0.085
andaman-&-nicobar-islands,2018,3,Xiaomi,7692,0.26
andaman-&-nicobar-islands,2018,3,Samsung,5863,0.2
andaman-&-nicobar-islands,2018,3,Vivo,4009,0.145
andaman-&-nicobar-islands,2018,3,Oppo,3176,0.115
andaman-&-nicobar-islands,2018,3,Realme,2680,0.095
andaman-&-nicobar-islands,2018,3,OnePlus,1260,0.045
andaman-&-nicobar-islands,2018,3,Apple,995,0.035
andaman-&-nicobar-islands,2018,3,Motorola,584,0.02
andaman-&-nicobar-islands,2018,3,Others,2430,0.085
andaman-&-nicobar-islands,2018,4,Xiaomi,9219,0.26
andaman-&-nicobar-islands,2018,4,Samsung,7184,0.2
andaman-&-nicobar-islands,2018,4,Vivo,5060,0.145
andaman-&-nicobar-islands,2018,4,Oppo,4258,0.115
andaman-&-nicobar-islands,2018,4,Realme,3392,0.095
andaman-&-nicobar-islands,2018,4,OnePlus,1615,0.045
andaman-&-nicobar-islands,2018,4,Apple,1205,0.035
andaman-&-nicobar-islands,2018,4,Motorola,708,0.02
andaman-&-nicobar-islands,2018,4,Others,3036,0.085
andaman-&-nicobar-islands,2019,1,Xiaomi,7951,0.26
andaman-&-nicobar-islands,2019,1,Samsung,6388,0.2
andaman-&-nicobar-islands,2019,1,Vivo,4766,0.145
andaman-&-nicobar-islands,2019,1,Oppo,3778,0.115
andaman-&-nicobar-islands,2019,1,Realme,2919,0.095
andaman-&-nicobar-islands,2019,1,OnePlus,1356,0.045
andaman-&-nicobar-islands,2019,1,Apple,1071,0.035
andaman-&-nicobar-islands,2019,1,Motorola,628,0.02
andaman-&-nicobar-islands,2019,1,Others,2692,0.085
andaman-&-nicobar-islands,2019,2,Xiaomi,8546,0.26
andaman-&-nicobar-islands,2019,2,Samsung,6009,0.2
andaman-&-nicobar-islands,2019,2,Vivo,4627,0.145
andaman-&-nicobar-islands,2019,2,Oppo,3619,0.115
andaman-&-nicobar-islands,2019,2,Realme,3021,0.095
andaman-&-nicobar-islands,2019,2,OnePlus,1398,0.045
andaman-&-nicobar-islands,2019,2,Apple,1099,0.035
andaman-&-nicobar-islands,2019,2,Motorola,596,0.02
andaman-&-nicobar-islands,2019,2,Others,2672,0.085
andaman-&-nicobar-islands,2019,3,Xiaomi,9702,0.26
andaman-&-nicobar-islands,2019,3,Samsung,7944,0.2
andaman-&-nicobar-islands,2019,3,Vivo,5663,0.145
andaman-&-nicobar-islands,2019,3,Oppo,4215,0.115
andaman-&-nicobar-islands,2019,3,Realme,3442,0.095
andaman-&-nicobar-islands,2019,3,OnePlus,1670,0.045
andaman-&-nicobar-islands,2019,3,Apple,1287,0.035
andaman-&-nicobar-islands,2019,3,Motorola,747,0.02
andaman-&-nicobar-islands,2019,3,Others,3191,0.085
andaman-&-nicobar-islands,2019,4,Xiaomi,10347,0.26
andaman-&-nicobar-islands,2019,4,Samsung,8704,0.2
andaman-&-nicobar-islands,2019,4,Vivo,5933,0.145
andaman-&-nicobar-islands,2019,4,Oppo,4982,0.115
andaman-&-nicobar-islands,2019,4,Realme,4054,0.095
andaman-&-nicobar-islands,2019,4,OnePlus,1909,0.045
andaman-&-nicobar-islands,2019,4,Apple,1522,0.035
andaman-&-nicobar-islands,2019,4,Motorola,828,0.02
andaman-&-nicobar-islands,2019,4,Others,3548,0.085
andaman-&-nicobar-islands,2020,1,Xiaomi,9496,0.26
andaman-&-nicobar-islands,2020,1,Samsung,7644,0.2
andaman-&-nicobar-islands,2020,1,Vivo,5226,0.145
andaman-&-nicobar-islands,2020,1,Oppo,4118,0.115
andaman-&-nicobar-islands,2020,1,Realme,3622,0.095
andaman-&-nicobar-islands,2020,1,OnePlus,1724,0.045
andaman-&-nicobar-islands,2020,1,Apple,1301,0.035
andaman-&-nicobar-islands,2020,1,Motorola,740,0.02
andaman-&-nicobar-islands,2020,1,Others,3014,0.085
andaman-&-nicobar-islands,2020,2,Xiaomi,9728,0.26
andaman-&-nicobar-islands,2020,2,Samsung,7830,0.2
andaman-&-nicobar-islands,2020,2,Vivo,5581,0.145
andaman-&-nicobar-islands,2020,2,Oppo,4483,0.115
andaman-&-nicobar-islands,2020,2,Realme,3590,0.095
andaman-&-nicobar-islands,2020,2,OnePlus,1717,0.045
andaman-&-nicobar-islands,2020,2,Apple,1357,0.035
andaman-&-nicobar-islands,2020,2,Motorola,791,0.02
andaman-&-nicobar-islands,2020,2,Others,3346,0.085
andaman-&-nicobar-islands,2020,3,Xiaomi,12417,0.26
andaman-&-nicobar-islands,2020,3,Samsung,8971,0.2
andaman-&-nicobar-islands,2020,3,Vivo,6876,0.145
andaman-&-nicobar-islands,2020,3,Oppo,5040,0.115
andaman-&-nicobar-islands,2020,3,Realme,4260,0.095
andaman-&-nicobar-islands,2020,3,OnePlus,2115,0.045
andaman-&-nicobar-islands,2020,3,Apple,1591,0.035
andaman-&-nicobar-islands,2020,3,Motorola,915,0.02
andaman-&-nicobar-islands,2020,3,Others,3907,0.085
