year,quarter,quarter_label,period_months,period_index
2018,1,Q1 2018,Jan-Mar,0
2018,2,Q2 2018,Apr-Jun,1
2018,3,Q3 2018,Jul-Sep,2
2018,4,Q4 2018,Oct-Dec,3
2019,1,Q1 2019,Jan-Mar,4
2019,2,Q2 2019,Apr-Jun,5
2019,3,Q3 2019,Jul-Sep,6
2019,4,Q4 2019,Oct-Dec,7
2020,1,Q1 2020,Jan-Mar,8
2020,2,Q2 2020,Apr-Jun,9
2020,3,Q3 2020,Jul-Sep,10
2020,4,Q4 2020,Oct-Dec,11
2021,1,Q1 2021,Jan-Mar,12
2021,2,Q2 2021,Apr-Jun,13
2021,3,Q3 2021,Jul-Sep,14
2021,4,Q4 2021,Oct-Dec,15
2022,1,Q1 2022,Jan-Mar,16
2022,2,Q2 2022,Apr-Jun,17
2022,3,Q3 2022,Jul-Sep,18
2022,4,Q4 2022,Oct-Dec,19
2023,1,Q1 2023,Jan-Mar,20
2023,2,Q2 2023,Apr-Jun,21
2023,3,Q3 2023,Jul-Sep,22
2023,4,Q4 2023,Oct-Dec,23
