state,state_display,region,zone
andaman-&-nicobar-islands,Andaman & Nicobar,East,Islands
andhra-pradesh,Andhra Pradesh,South,Southern
arunachal-pradesh,Arunachal Pradesh,Northeast,Northeastern
assam,Assam,Northeast,Northeastern
bihar,Bihar,East,Eastern
chandigarh,Chandigarh,North,Northern
chhattisgarh,Chhattisgarh,Central,Central
dadra-&-nagar-haveli-&-daman-&-diu,Dadra & Nagar Haveli and Daman & Diu,West,Western
delhi,Delhi,North,Northern
goa,Goa,West,Western
gujarat,Gujarat,West,Western
haryana,Haryana,North,Northern
himachal-pradesh,Himachal Pradesh,North,Northern
jammu-&-kashmir,Jammu & Kashmir,North,Northern
jharkhand,Jharkhand,East,Eastern
karnataka,Karnataka,South,Southern
kerala,Kerala,South,Southern
ladakh,Ladakh,North,Northern
lakshadweep,Lakshadweep,South,Islands
madhya-pradesh,Madhya Pradesh,Central,Central
maharashtra,Maharashtra,West,Western
manipur,Manipur,Northeast,Northeastern
meghalaya,Meghalaya,Northeast,Northeastern
mizoram,Mizoram,Northeast,Northeastern
nagaland,Nagaland,Northeast,Northeastern
odisha,Odisha,East,Eastern
puducherry,Puducherry,South,Southern
punjab,Punjab,North,Northern
rajasthan,Rajasthan,North,Northern
sikkim,Sikkim,Northeast,Northeastern
tamil-nadu,Tamil Nadu,South,Southern
telangana,Telangana,South,Southern
tripura,Tripura,Northeast,Northeastern
uttar-pradesh,Uttar Pradesh,Central,Northern
uttarakhand,Uttarakhand,North,Northern
west-bengal,West Bengal,East,Eastern
