state,year,quarter,district,policy_count,premium_amount
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 1,256,118092.93
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 2,116,53609.64
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 3,70,32438.26
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 4,53,24614.71
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 5,37,17481.27
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 1,252,116402.79
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 2,114,52842.38
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 3,69,31974.0
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 4,52,24262.43
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 5,37,17231.08
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 1,318,146988.97
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 2,144,66727.32
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 3,87,40375.54
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 4,66,30637.66
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 5,47,21758.74
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 1,381,175913.45
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 2,173,79857.92
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 3,104,48320.64
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 4,79,36666.53
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 5,56,26040.43
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 1,288,133148.74
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 2,131,60444.39
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 3,79,36573.85
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 4,60,27752.87
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 5,42,19709.98
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 1,377,174059.96
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 2,171,79016.51
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 3,103,47811.51
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 4,78,36280.2
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 5,55,25766.06
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 1,431,199010.6
