state,year,quarter,district,txn_count,txn_amount
andaman-&-nicobar-islands,2018,1,Andaman And Nicobar Islands District 1,49311,38745943.69
andaman-&-nicobar-islands,2018,1,Andaman And Nicobar Islands District 2,22385,17589164.16
andaman-&-nicobar-islands,2018,1,Andaman And Nicobar Islands District 3,13544,10642896.49
andaman-&-nicobar-islands,2018,1,Andaman And Nicobar Islands District 4,10278,8076013.91
andaman-&-nicobar-islands,2018,1,Andaman And Nicobar Islands District 5,7299,5735553.59
andaman-&-nicobar-islands,2018,2,Andaman And Nicobar Islands District 1,64012,50632972.38
andaman-&-nicobar-islands,2018,2,Andaman And Nicobar Islands District 2,29059,22985416.76
andaman-&-nicobar-islands,2018,2,Andaman And Nicobar Islands District 3,17583,13908074.83
andaman-&-nicobar-islands,2018,2,Andaman And Nicobar Islands District 4,13342,10553687.69
andaman-&-nicobar-islands,2018,2,Andaman And Nicobar Islands District 5,9475,7495187.85
andaman-&-nicobar-islands,2018,3,Andaman And Nicobar Islands District 1,74123,58529264.3
andaman-&-nicobar-islands,2018,3,Andaman And Nicobar Islands District 2,33649,26570028.76
andaman-&-nicobar-islands,2018,3,Andaman And Nicobar Islands District 3,20360,16077061.04
andaman-&-nicobar-islands,2018,3,Andaman And Nicobar Islands District 4,15449,12199551.94
andaman-&-nicobar-islands,2018,3,Andaman And Nicobar Islands District 5,10972,8664074.22
andaman-&-nicobar-islands,2018,4,Andaman And Nicobar Islands District 1,84771,66327996.23
andaman-&-nicobar-islands,2018,4,Andaman And Nicobar Islands District 2,38483,30110352.29
andaman-&-nicobar-islands,2018,4,Andaman And Nicobar Islands District 3,23285,18219249.07
andaman-&-nicobar-islands,2018,4,Andaman And Nicobar Islands District 4,17669,13825081.26
andaman-&-nicobar-islands,2018,4,Andaman And Nicobar Islands District 5,12548,9818518.81
andaman-&-nicobar-islands,2019,1,Andaman And Nicobar Islands District 1,71494,57774301.85
andaman-&-nicobar-islands,2019,1,Andaman And Nicobar Islands District 2,32455,26227304.93
andaman-&-nicobar-islands,2019,1,Andaman And Nicobar Islands District 3,19638,15869684.82
andaman-&-nicobar-islands,2019,1,Andaman And Nicobar Islands District 4,14901,12042191.28
andaman-&-nicobar-islands,2019,1,Andaman And Nicobar Islands District 5,10583,8552317.29
andaman-&-nicobar-islands,2019,2,Andaman And Nicobar Islands District 1,84872,68466638.61
andaman-&-nicobar-islands,2019,2,Andaman And Nicobar Islands District 2,38528,31081213.46
andaman-&-nicobar-islands,2019,2,Andaman And Nicobar Islands District 3,23313,18806700.23
andaman-&-nicobar-islands,2019,2,Andaman And Nicobar Islands District 4,17690,14270849.36
andaman-&-nicobar-islands,2019,2,Andaman And Nicobar Islands District 5,12563,10135101.57
andaman-&-nicobar-islands,2019,3,Andaman And Nicobar Islands District 1,89848,72308249.53
andaman-&-nicobar-islands,2019,3,Andaman And Nicobar Islands District 2,40787,32825156.66
andaman-&-nicobar-islands,2019,3,Andaman And Nicobar Islands District 3,24679,19861929.85
andaman-&-nicobar-islands,2019,3,Andaman And Nicobar Islands District 4,18727,15071575.84
andaman-&-nicobar-islands,2019,3,Andaman And Nicobar Islands District 5,13300,10703774.4
andaman-&-nicobar-islands,2019,4,Andaman And Nicobar Islands District 1,112405,90859123.18
andaman-&-nicobar-islands,2019,4,Andaman And Nicobar Islands District 2,51027,41246537.86
andaman-&-nicobar-islands,2019,4,Andaman And Nicobar Islands District 3,30875,24957560.75
andaman-&-nicobar-islands,2019,4,Andaman And Nicobar Islands District 4,23429,18938228.69
andaman-&-nicobar-islands,2019,4,Andaman And Nicobar Islands District 5,16639,13449856.17
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 1,93852,75124667.16
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 2,42605,34103701.64
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 3,25779,20635555.12
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 4,19562,15658616.07
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 5,13892,11120688.08
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 1,100537,81769315.24
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 2,45640,37120115.61
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 3,27616,22460734.61
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 4,20955,17043593.83
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 5,14882,12104293.89
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 1,106976,87667588.28
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 2,48563,39797704.1
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 3,29384,24080896.71
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 4,22297,18273000.85
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 5,15835,12977413.96
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 1,130495,107489990.66
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 2,59240,48796310.32
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 3,35845,29525796.4
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 4,27199,22404684.9
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 5,19317,15911719.86
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 1,102717,84534950.9
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 2,46629,38375607.55
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 3,28214,23220410.88
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 4,21409,17620049.33
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 5,15205,12513690.33
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 1,114731,94370954.01
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 2,52083,42840773.62
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 3,31514,25922205.01
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 4,23914,19670217.43
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 5,16983,13969711.72
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 1,127601,104550273.09
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 2,57926,47461791.91
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 3,35050,28718302.59
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 4,26596,21791944.63
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 5,18888,15476554.11
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 1,144609,121288919.45
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 2,65647,55060491.82
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 3,39721,33316143.38
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 4,30141,25280865.73
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 5,21406,17954372.27
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 1,118903,100176254.21
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 2,53977,45476156.03
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 3,32660,27516828.94
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 4,24783,20880245.65
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 5,17601,14829069.05
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 1,125564,105299384.2
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 2,57001,47801859.47
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 3,34490,28924071.53
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 4,26171,21948085.66
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 5,18587,15587444.86
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 1,143429,119943729.46
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 2,65111,54449827.44
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 3,39397,32946641.02
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 4,29895,25000480.95
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 5,21231,17755244.09
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 1,160850,135420067.81
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 2,73020,61475488.2
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 3,44183,37197745.82
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 4,33526,28226292.78
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 5,23810,20046203.08
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 1,123748,105557112.26
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 2,56177,47918858.07
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 3,33991,28994865.34
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 4,25793,22001805.23
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 5,18318,15625596.29
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 1,143715,121772465.94
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 2,65241,55280003.28
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 3,39476,33448965.94
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 4,29955,25381653.78
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 5,21274,18025951.56
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 1,150355,128346033.27
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 2,68255,58264149.33
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 3,41300,35254620.67
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 4,31339,26751815.82
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 5,22257,18999035.29
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 1,178329,151146395.86
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 2,80954,68614634.63
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 3,48984,41517518.82
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 4,37170,31504211.24
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 5,26398,22374167.99
andhra-pradesh,2018,1,Visakhapatnam,2769033,2179598320.49
andhra-pradesh,2018,1,Krishna,1277592,1005635492.69
andhra-pradesh,2018,1,Guntur,757923,596587080.06
andhra-pradesh,2018,1,East Godavari,530217,417351830.09
andhra-pradesh,2018,1,Chittoor,428339,337160678.79
andhra-pradesh,2018,1,West Godavari,334781,263517680.6
andhra-pradesh,2018,2,Visakhapatnam,3276112,2565325165.43
andhra-pradesh,2018,2,Krishna,1511551,1183604342.32
andhra-pradesh,2018,2,Guntur,896718,702166007.13
andhra-pradesh,2018,2,East Godavari,627313,491211221.12
andhra-pradesh,2018,2,Chittoor,506779,396828519.25
andhra-pradesh,2018,2,West Godavari,396088,310152807.16
andhra-pradesh,2018,3,Visakhapatnam,4047188,3215840594.49
andhra-pradesh,2018,3,Krishna,1867314,1483742857.68
andhra-pradesh,2018,3,Guntur,1107773,880221338.12
andhra-pradesh,2018,3,East Godavari,774959,615772614.96
andhra-pradesh,2018,3,Chittoor,626056,497456337.49
andhra-pradesh,2018,3,West Godavari,489312,388801389.08
andhra-pradesh,2018,4,Visakhapatnam,4541593,3642552158.46
andhra-pradesh,2018,4,Krishna,2095426,1680621470.51
andhra-pradesh,2018,4,Guntur,1243098,997018366.07
andhra-pradesh,2018,4,East Godavari,869629,697479804.07
andhra-pradesh,2018,4,Chittoor,702536,563464078.09
andhra-pradesh,2018,4,West Godavari,549087,440391647.96
andhra-pradesh,2019,1,Visakhapatnam,4234725,3315826602.51
andhra-pradesh,2019,1,Krishna,1953841,1529874971.79
andhra-pradesh,2019,1,Guntur,1159104,907588931.5
andhra-pradesh,2019,1,East Godavari,810869,634918043.29
andhra-pradesh,2019,1,Chittoor,655066,512923109.52
andhra-pradesh,2019,1,West Godavari,511986,400889892.12
andhra-pradesh,2019,2,Visakhapatnam,4547052,3556803992.95
andhra-pradesh,2019,2,Krishna,2097944,1641058493.31
andhra-pradesh,2019,2,Guntur,1244592,973547872.82
andhra-pradesh,2019,2,East Godavari,870674,681060653.13
andhra-pradesh,2019,2,Chittoor,703380,550199748.88
andhra-pradesh,2019,2,West Godavari,549747,430024527.8
andhra-pradesh,2019,3,Visakhapatnam,4899663,3936016117.14
andhra-pradesh,2019,3,Krishna,2260634,1816021543.95
andhra-pradesh,2019,3,Guntur,1341107,1077343628.1
andhra-pradesh,2019,3,East Godavari,938192,753672598.43
andhra-pradesh,2019,3,Chittoor,757925,608859831.33
andhra-pradesh,2019,3,West Godavari,592378,475872011.94
andhra-pradesh,2019,4,Visakhapatnam,5935955,4818084574.58
andhra-pradesh,2019,4,Krishna,2738764,2222995314.97
andhra-pradesh,2019,4,Guntur,1624755,1318778318.38
andhra-pradesh,2019,4,East Godavari,1136623,922572015.13
andhra-pradesh,2019,4,Chittoor,918229,745306440.35
andhra-pradesh,2019,4,West Godavari,717668,582515805.82
andhra-pradesh,2020,1,Visakhapatnam,4983522,4024084727.09
andhra-pradesh,2020,1,Krishna,2299326,1856655141.04
andhra-pradesh,2020,1,Guntur,1364061,1101449260.03
andhra-pradesh,2020,1,East Godavari,954250,770536070.56
andhra-pradesh,2020,1,Chittoor,770897,622483108.62
andhra-pradesh,2020,1,West Godavari,602517,486519678.35
andhra-pradesh,2020,2,Visakhapatnam,5518234,4523656072.03
andhra-pradesh,2020,2,Krishna,2546034,2087150214.78
andhra-pradesh,2020,2,Guntur,1510419,1238189046.97
andhra-pradesh,2020,2,East Godavari,1056637,866194528.87
andhra-pradesh,2020,2,Chittoor,853612,699761482.43
andhra-pradesh,2020,2,West Godavari,667165,546918826.61
andhra-pradesh,2020,3,Visakhapatnam,6105360,4974191023.6
andhra-pradesh,2020,3,Krishna,2816925,2295020597.93
andhra-pradesh,2020,3,Guntur,1671123,1361506875.17
andhra-pradesh,2020,3,East Godavari,1169060,952463445.85
andhra-pradesh,2020,3,Chittoor,944434,769454447.72
andhra-pradesh,2020,3,West Godavari,738149,601389379.44
andhra-pradesh,2020,4,Visakhapatnam,6824461,5595753261.02
andhra-pradesh,2020,4,Krishna,3148708,2581800524.75
andhra-pradesh,2020,4,Guntur,1867952,1531637305.53
andhra-pradesh,2020,4,East Godavari,1306755,1071480851.42
andhra-pradesh,2020,4,Chittoor,1055671,865603515.14
andhra-pradesh,2020,4,West Godavari,825090,676537464.12
andhra-pradesh,2021,1,Visakhapatnam,5755649,4752098083.59
andhra-pradesh,2021,1,Krishna,2655574,2192550091.76
andhra-pradesh,2021,1,Guntur,1575403,1300716876.69
andhra-pradesh,2021,1,East Godavari,1102097,909936850.88
andhra-pradesh,2021,1,Chittoor,890337,735099032.0
andhra-pradesh,2021,1,West Godavari,695869,574537910.58
andhra-pradesh,2021,2,Visakhapatnam,6035904,4913834552.46
andhra-pradesh,2021,2,Krishna,2784880,2267172985.35
andhra-pradesh,2021,2,Guntur,1652112,1344986450.03
andhra-pradesh,2021,2,East Godavari,1155761,940906323.85
andhra-pradesh,2021,2,Chittoor,933690,760117943.56
andhra-pradesh,2021,2,West Godavari,729752,594092164.57
andhra-pradesh,2021,3,Visakhapatnam,6707361,5552248499.69
andhra-pradesh,2021,3,Krishna,3094680,2561728050.08
andhra-pradesh,2021,3,Guntur,1835900,1519729433.21
andhra-pradesh,2021,3,East Godavari,1284332,1063150512.94
andhra-pradesh,2021,3,Chittoor,1037557,858873791.27
andhra-pradesh,2021,3,West Godavari,810933,671277653.77
andhra-pradesh,2021,4,Visakhapatnam,7867138,6662657335.17
andhra-pradesh,2021,4,Krishna,3629785,3074054805.82
andhra-pradesh,2021,4,Guntur,2153347,1823664134.66
andhra-pradesh,2021,4,East Godavari,1506408,1275772790.76
andhra-pradesh,2021,4,Chittoor,1216962,1030642228.22
andhra-pradesh,2021,4,West Godavari,951152,805528243.93
andhra-pradesh,2022,1,Visakhapatnam,6484298,5500291982.9
andhra-pradesh,2022,1,Krishna,2991762,2537756056.31
andhra-pradesh,2022,1,Guntur,1774844,1505508195.12
andhra-pradesh,2022,1,East Godavari,1241620,1053201823.24
andhra-pradesh,2022,1,Chittoor,1003051,850836670.71
andhra-pradesh,2022,1,West Godavari,783964,664996009.73
andhra-pradesh,2022,2,Visakhapatnam,7143487,5989399756.8
andhra-pradesh,2022,2,Krishna,3295903,2763423388.01
andhra-pradesh,2022,2,Guntur,1955274,1639383953.75
andhra-pradesh,2022,2,East Godavari,1367842,1146856705.71
andhra-pradesh,2022,2,Chittoor,1105021,926496441.36
andhra-pradesh,2022,2,West Godavari,863661,724130091.88
andhra-pradesh,2022,3,Visakhapatnam,7628670,6368485641.01
andhra-pradesh,2022,3,Krishna,3519759,2938328193.34
andhra-pradesh,2022,3,Guntur,2088075,1743145155.36
andhra-pradesh,2022,3,East Godavari,1460745,1219444478.45
andhra-pradesh,2022,3,Chittoor,1180074,985136995.84
andhra-pradesh,2022,3,West Godavari,922321,769962313.36
andhra-pradesh,2022,4,Visakhapatnam,8875942,7463867609.5
andhra-pradesh,2022,4,Krishna,4095232,3443721767.57
andhra-pradesh,2022,4,Guntur,2429471,2042966789.46
andhra-pradesh,2022,4,East Godavari,1699574,1429189395.62
andhra-pradesh,2022,4,Chittoor,1373013,1154580936.29
andhra-pradesh,2022,4,West Godavari,1073118,902396126.05
andhra-pradesh,2023,1,Visakhapatnam,6805723,5829979228.06
andhra-pradesh,2023,1,Krishna,3140063,2689869036.07
andhra-pradesh,2023,1,Guntur,1862823,1595748286.19
andhra-pradesh,2023,1,East Godavari,1303167,1116330691.45
