state,year,quarter,district,registered_users,app_opens
andaman-&-nicobar-islands,2018,1,Andaman And Nicobar Islands District 1,8366,76622
andaman-&-nicobar-islands,2018,1,Andaman And Nicobar Islands District 2,3798,34783
andaman-&-nicobar-islands,2018,1,Andaman And Nicobar Islands District 3,2298,21047
andaman-&-nicobar-islands,2018,1,Andaman And Nicobar Islands District 4,1743,15970
andaman-&-nicobar-islands,2018,1,Andaman And Nicobar Islands District 5,1238,11342
andaman-&-nicobar-islands,2018,2,Andaman And Nicobar Islands District 1,11271,104479
andaman-&-nicobar-islands,2018,2,Andaman And Nicobar Islands District 2,5116,47429
andaman-&-nicobar-islands,2018,2,Andaman And Nicobar Islands District 3,3096,28698
andaman-&-nicobar-islands,2018,2,Andaman And Nicobar Islands District 4,2349,21777
andaman-&-nicobar-islands,2018,2,Andaman And Nicobar Islands District 5,1668,15466
andaman-&-nicobar-islands,2018,3,Andaman And Nicobar Islands District 1,13628,102760
andaman-&-nicobar-islands,2018,3,Andaman And Nicobar Islands District 2,6186,46649
andaman-&-nicobar-islands,2018,3,Andaman And Nicobar Islands District 3,3743,28226
andaman-&-nicobar-islands,2018,3,Andaman And Nicobar Islands District 4,2840,21418
andaman-&-nicobar-islands,2018,3,Andaman And Nicobar Islands District 5,2017,15211
andaman-&-nicobar-islands,2018,4,Andaman And Nicobar Islands District 1,17110,115742
andaman-&-nicobar-islands,2018,4,Andaman And Nicobar Islands District 2,7767,52542
andaman-&-nicobar-islands,2018,4,Andaman And Nicobar Islands District 3,4699,31792
andaman-&-nicobar-islands,2018,4,Andaman And Nicobar Islands District 4,3566,24124
andaman-&-nicobar-islands,2018,4,Andaman And Nicobar Islands District 5,2532,17133
andaman-&-nicobar-islands,2019,1,Andaman And Nicobar Islands District 1,15076,112367
andaman-&-nicobar-islands,2019,1,Andaman And Nicobar Islands District 2,6844,51010
andaman-&-nicobar-islands,2019,1,Andaman And Nicobar Islands District 3,4141,30865
andaman-&-nicobar-islands,2019,1,Andaman And Nicobar Islands District 4,3142,23421
andaman-&-nicobar-islands,2019,1,Andaman And Nicobar Islands District 5,2231,16633
andaman-&-nicobar-islands,2019,2,Andaman And Nicobar Islands District 1,15023,113044
andaman-&-nicobar-islands,2019,2,Andaman And Nicobar Islands District 2,6819,51317
andaman-&-nicobar-islands,2019,2,Andaman And Nicobar Islands District 3,4126,31051
andaman-&-nicobar-islands,2019,2,Andaman And Nicobar Islands District 4,3131,23562
andaman-&-nicobar-islands,2019,2,Andaman And Nicobar Islands District 5,2223,16733
andaman-&-nicobar-islands,2019,3,Andaman And Nicobar Islands District 1,18268,130187
andaman-&-nicobar-islands,2019,3,Andaman And Nicobar Islands District 2,8293,59100
andaman-&-nicobar-islands,2019,3,Andaman And Nicobar Islands District 3,5018,35760
andaman-&-nicobar-islands,2019,3,Andaman And Nicobar Islands District 4,3807,27135
andaman-&-nicobar-islands,2019,3,Andaman And Nicobar Islands District 5,2704,19271
andaman-&-nicobar-islands,2019,4,Andaman And Nicobar Islands District 1,20001,130079
andaman-&-nicobar-islands,2019,4,Andaman And Nicobar Islands District 2,9079,59051
andaman-&-nicobar-islands,2019,4,Andaman And Nicobar Islands District 3,5494,35730
andaman-&-nicobar-islands,2019,4,Andaman And Nicobar Islands District 4,4168,27113
andaman-&-nicobar-islands,2019,4,Andaman And Nicobar Islands District 5,2960,19255
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 1,17832,136526
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 2,8095,61977
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 3,4898,37501
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 4,3716,28456
andaman-&-nicobar-islands,2020,1,Andaman And Nicobar Islands District 5,2639,20209
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 1,18351,123311
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 2,8330,55978
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 3,5040,33871
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 4,3825,25702
andaman-&-nicobar-islands,2020,2,Andaman And Nicobar Islands District 5,2716,18253
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 1,22043,209307
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 2,10007,95017
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 3,6055,57493
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 4,4594,43627
andaman-&-nicobar-islands,2020,3,Andaman And Nicobar Islands District 5,3263,30983
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 1,25525,217587
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 2,11587,98776
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 3,7011,59767
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 4,5320,45352
andaman-&-nicobar-islands,2020,4,Andaman And Nicobar Islands District 5,3778,32209
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 1,20926,139336
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 2,9499,63253
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 3,5748,38273
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 4,4361,29042
andaman-&-nicobar-islands,2021,1,Andaman And Nicobar Islands District 5,3097,20626
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 1,20432,150885
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 2,9275,68496
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 3,5612,41445
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 4,4258,31449
andaman-&-nicobar-islands,2021,2,Andaman And Nicobar Islands District 5,3024,22335
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 1,26574,239635
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 2,12063,108785
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 3,7299,65824
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 4,5538,49948
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 5,3933,35473
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 1,28796,197642
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 2,13072,89722
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 3,7909,54289
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 4,6002,41195
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 5,4262,29257
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 1,24369,167122
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 2,11063,75866
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 3,6694,45905
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 4,5079,34834
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 5,3607,24739
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 1,27385,241111
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 2,12431,109455
