state,year,quarter,pincode,txn_count,txn_amount
andaman-&-nicobar-islands,2018,1,772219,38914,30577274.34
andaman-&-nicobar-islands,2018,1,731836,17185,13503363.96
andaman-&-nicobar-islands,2018,1,744374,10998,8642129.52
andaman-&-nicobar-islands,2018,1,748250,7918,6221768.1
andaman-&-nicobar-islands,2018,1,789740,7009,5507701.22
andaman-&-nicobar-islands,2018,1,796851,4934,3877239.34
andaman-&-nicobar-islands,2018,1,717072,4908,3857110.73
andaman-&-nicobar-islands,2018,1,782311,3931,3089287.42
andaman-&-nicobar-islands,2018,1,727468,3841,3018603.85
andaman-&-nicobar-islands,2018,1,771512,3175,2495093.37
andaman-&-nicobar-islands,2018,2,781235,46293,36617797.75
andaman-&-nicobar-islands,2018,2,725074,22950,18153282.23
andaman-&-nicobar-islands,2018,2,798107,15325,12121919.34
andaman-&-nicobar-islands,2018,2,713102,11068,8754760.61
andaman-&-nicobar-islands,2018,2,741283,9245,7313225.65
andaman-&-nicobar-islands,2018,2,794818,7653,6053858.73
andaman-&-nicobar-islands,2018,2,735382,6727,5321621.36
andaman-&-nicobar-islands,2018,2,767555,5340,4224318.9
andaman-&-nicobar-islands,2018,2,721857,4551,3599809.79
andaman-&-nicobar-islands,2018,2,795798,4317,3414745.15
andaman-&-nicobar-islands,2018,3,792356,53340,42118636.25
andaman-&-nicobar-islands,2018,3,753468,28537,22533941.82
andaman-&-nicobar-islands,2018,3,793540,17392,13733198.09
andaman-&-nicobar-islands,2018,3,739155,12132,9579810.68
andaman-&-nicobar-islands,2018,3,769441,10340,8165334.18
andaman-&-nicobar-islands,2018,3,760589,8833,6974962.53
andaman-&-nicobar-islands,2018,3,710985,6959,5495630.03
andaman-&-nicobar-islands,2018,3,725338,6734,5317850.05
andaman-&-nicobar-islands,2018,3,798403,5497,4340946.86
andaman-&-nicobar-islands,2018,3,743974,4786,3779669.77
andaman-&-nicobar-islands,2018,4,764323,60301,47181650.43
andaman-&-nicobar-islands,2018,4,743084,29779,23300385.12
