state,year,quarter,pincode,registered_users
andaman-&-nicobar-islands,2018,1,772219,6602
andaman-&-nicobar-islands,2018,1,731836,2915
andaman-&-nicobar-islands,2018,1,744374,1866
andaman-&-nicobar-islands,2018,1,748250,1343
andaman-&-nicobar-islands,2018,1,789740,1189
andaman-&-nicobar-islands,2018,1,796851,837
andaman-&-nicobar-islands,2018,1,717072,832
andaman-&-nicobar-islands,2018,1,782311,667
andaman-&-nicobar-islands,2018,1,727468,651
andaman-&-nicobar-islands,2018,1,771512,538
andaman-&-nicobar-islands,2018,2,781235,8151
andaman-&-nicobar-islands,2018,2,725074,4041
andaman-&-nicobar-islands,2018,2,798107,2698
andaman-&-nicobar-islands,2018,2,713102,1948
andaman-&-nicobar-islands,2018,2,741283,1628
andaman-&-nicobar-islands,2018,2,794818,1347
andaman-&-nicobar-islands,2018,2,735382,1184
andaman-&-nicobar-islands,2018,2,767555,940
andaman-&-nicobar-islands,2018,2,721857,801
andaman-&-nicobar-islands,2018,2,795798,760
andaman-&-nicobar-islands,2018,3,792356,9806
andaman-&-nicobar-islands,2018,3,753468,5246
andaman-&-nicobar-islands,2018,3,793540,3197
andaman-&-nicobar-islands,2018,3,739155,2230
andaman-&-nicobar-islands,2018,3,769441,1901
andaman-&-nicobar-islands,2018,3,760589,1624
andaman-&-nicobar-islands,2018,3,710985,1279
andaman-&-nicobar-islands,2018,3,725338,1238
andaman-&-nicobar-islands,2018,3,798403,1010
andaman-&-nicobar-islands,2018,3,743974,880
andaman-&-nicobar-islands,2018,4,764323,12171
andaman-&-nicobar-islands,2018,4,743084,6010
andaman-&-nicobar-islands,2018,4,721061,3961
andaman-&-nicobar-islands,2018,4,790184,3013
andaman-&-nicobar-islands,2018,4,761067,2327
andaman-&-nicobar-islands,2018,4,724938,2232
andaman-&-nicobar-islands,2018,4,716824,1718
andaman-&-nicobar-islands,2018,4,763842,1569
andaman-&-nicobar-islands,2018,4,728539,1451
andaman-&-nicobar-islands,2018,4,773366,1220
andaman-&-nicobar-islands,2019,1,711403,11292
andaman-&-nicobar-islands,2019,1,778841,5138
andaman-&-nicobar-islands,2019,1,778486,3457
andaman-&-nicobar-islands,2019,1,797050,2698
andaman-&-nicobar-islands,2019,1,710564,2021
